time,U_R1,U_R2,U_Rb1,U_Rb2,U_Id1,I_E1,I_E2,I_L1,I_Cb1,I_C1,I_R1,I_R2,I_Rb1,I _Rb2, I_Id1, U_E1, U_E2, U_L1, U_Cb1, U_C1 
1.23208e-05,-0.808796,0.229406,0.940469,0.638921,0.638921,-0.0470235,-0.0478323,0.0478323,6.89307e-09,0.046794,-0.000808796,0.000229406,0.0470235,6.38921e-07,0.0470228,1,7.10781,6.29901,0.638921,0.229406
1.25829e-05,-0.854833,0.242095,0.972934,0.639804,0.639804,-0.0486467,-0.0495015,0.0495015,6.73213e-09,0.0484046,-0.000854833,0.000242095,0.0486467,6.39804e-07,0.0486461,1,7.2227,6.36787,0.639804,0.242095
1.28451e-05,-0.901608,0.25521,1.00573,0.640666,0.640666,-0.0502866,-0.0511882,0.0511882,6.57664e-09,0.0500314,-0.000901608,0.00025521,0.0502866,6.40666e-07,0.0502859,1,7.33563,6.43402,0.640666,0.25521
1.31072e-05,-0.949111,0.268756,1.03885,0.641508,0.641508,-0.0519423,-0.0528915,0.0528915,6.42631e-09,0.0516736,-0.000949111,0.000268756,0.0519423,6.41508e-07,0.0519417,1,7.44657,6.49746,0.641508,0.268756
1.33693e-05,-0.997334,0.282736,1.07227,0.642331,0.642331,-0.0536133,-0.0546106,0.0546106,6.28086e-09,0.0533306,-0.000997334,0.000282736,0.0536133,6.42331e-07,0.0536127,1,7.55549,6.55816,0.642331,0.282736
1.36315e-05,-1.04627,0.297155,1.10597,0.643136,0.643136,-0.0552987,-0.056345,0.056345,6.14002e-09,0.0550016,-0.00104627,0.000297155,0.0552987,6.43136e-07,0.0552981,1,7.66236,6.61609,0.643136,0.297155
1.38936e-05,-1.0959,0.312015,1.13996,0.643923,0.643923,-0.0569979,-0.0580938,0.0580938,6.00356e-09,0.0566859,-0.0010959,0.000312015,0.0569979,6.43923e-07,0.0569973,1,7.76715,6.67126,0.643923,0.312015
1.41558e-05,-1.14622,0.327319,1.1742,0.644693,0.644693,-0.0587102,-0.0598564,0.0598564,5.87124e-09,0.0583829,-0.00114622,0.000327319,0.0587102,6.44693e-07,0.0587095,1,7.86984,6.72362,0.644693,0.327319
1.44179e-05,-1.19721,0.343072,1.20869,0.645445,0.645445,-0.0604347,-0.0616319,0.0616319,5.74287e-09,0.0600917,-0.00119721,0.000343072,0.0604347,6.45445e-07,0.0604341,1,7.97039,6.77317,0.645445,0.343072
1.46801e-05,-1.24887,0.359276,1.24342,0.646182,0.646182,-0.0621709,-0.0634197,0.0634197,5.61823e-09,0.0618116,-0.00124887,0.000359276,0.0621709,6.46182e-07,0.0621702,1,8.06877,6.8199,0.646182,0.359276
